#version 0.0.1
#problem	instance	algorithm	config	filename	runs	steps
sat	uf20-01.cnf	sat_sa	{"boltzmanconst":0.05,"coolingscheme":"geometric","terminate_ls_steps":30}	../workspace/default.box/sat-sat_sa-900029e2-430b-41a2-9f7b-ae77a17fa2e9.tsv	5	30
sat	uf20-01.cnf	sat_sa	{"boltzmanconst":0.005,"coolingscheme":"geometric","terminate_ls_steps":30}	../workspace/default.box/sat-sat_sa-17699056-ec41-4334-8656-e9e2ced8ee81.tsv	5	30
sat	uf20-01.cnf	sat_sa	{"boltzmanconst":0.001,"coolingscheme":"geometric","terminate_ls_steps":30}	../workspace/default.box/sat-sat_sa-395e312e-29cb-4e66-a5fd-e9790f92594a.tsv	5	30
sat	uf20-01.cnf	sat_ts	{"tabu_tenure":10,"terminate_ls_steps":30}	../workspace/default.box/sat-sat_ts-179b3ea1-70cf-476a-a7d1-a466e310ae29.tsv	5	30
sat	uf20-01.cnf	sat_ts	{"tabu_tenure":50,"terminate_ls_steps":30}	../workspace/default.box/sat-sat_ts-a1363d95-6198-440e-afcd-0229c83c6749.tsv	5	30
sat	uf20-01.cnf	sat_ts	{"tabu_tenure":100,"terminate_ls_steps":30}	../workspace/default.box/sat-sat_ts-199fd45b-e8ab-49d3-bb50-95282730e5e9.tsv	5	30
sat	uf20-01.cnf	gsat_iia	{"terminate_ls_steps":30}	../workspace/default.box/sat-gsat_iia-c9b16000-8871-4b87-aee0-24b94a28468e.tsv	5	30
sat	uf20-02.cnf	sat_sa	{"boltzmanconst":0.05,"coolingscheme":"geometric","terminate_ls_steps":30}	../workspace/default.box/sat-sat_sa-d30c7212-37b9-41a9-ab93-e1f405fa16d5.tsv	5	30
sat	uf20-02.cnf	sat_sa	{"boltzmanconst":0.005,"coolingscheme":"geometric","terminate_ls_steps":30}	../workspace/default.box/sat-sat_sa-40be79b9-d746-4bff-8d17-cb461e065799.tsv	5	30
sat	uf20-02.cnf	sat_sa	{"boltzmanconst":0.001,"coolingscheme":"geometric","terminate_ls_steps":30}	../workspace/default.box/sat-sat_sa-f6fbacc5-e3ee-42ba-82a0-b52cd93557f0.tsv	5	30
sat	uf20-02.cnf	sat_ts	{"tabu_tenure":10,"terminate_ls_steps":30}	../workspace/default.box/sat-sat_ts-e5893359-2b80-4104-9f62-a895e6353167.tsv	5	30
sat	uf20-02.cnf	sat_ts	{"tabu_tenure":50,"terminate_ls_steps":30}	../workspace/default.box/sat-sat_ts-e4694fd8-45b1-4ce2-97f6-7517697b0af3.tsv	5	30
sat	uf20-02.cnf	sat_ts	{"tabu_tenure":100,"terminate_ls_steps":30}	../workspace/default.box/sat-sat_ts-757297b0-8149-4c09-ab84-d97619adb158.tsv	5	30
sat	uf20-02.cnf	gsat_iia	{"terminate_ls_steps":30}	../workspace/default.box/sat-gsat_iia-523b18a1-282f-4c36-9b9b-74b1daa495d1.tsv	5	30
tsp	bayg29.xml	tsp_sa	{"boltzmanconst":0.05,"coolingscheme":"geometric","terminate_ls_steps":50}	../workspace/default.box/tsp-tsp_sa-792b563d-c6b4-48ad-b555-4199faa18d95.tsv	5	50
tsp	bayg29.xml	tsp_sa	{"boltzmanconst":0.005,"coolingscheme":"geometric","terminate_ls_steps":50}	../workspace/default.box/tsp-tsp_sa-7e8e13a3-6e5a-481d-b666-41638f5f8c2d.tsv	5	50
tsp	bayg29.xml	tsp_sa	{"boltzmanconst":0.001,"coolingscheme":"geometric","terminate_ls_steps":50}	../workspace/default.box/tsp-tsp_sa-f06fb9a8-e274-4da7-8166-a3006f20c71a.tsv	5	50
tsp	bayg29.xml	tsp_ts	{"tabu_tenure":10,"terminate_ls_steps":50}	../workspace/default.box/tsp-tsp_ts-f7ae2dd7-0fde-4a62-bc52-a3c6065fd866.tsv	5	50
tsp	bayg29.xml	tsp_ts	{"tabu_tenure":50,"terminate_ls_steps":50}	../workspace/default.box/tsp-tsp_ts-9eb61751-f46c-44fb-9f26-6b7102028f4b.tsv	5	50
tsp	bayg29.xml	tsp_ts	{"tabu_tenure":100,"terminate_ls_steps":50}	../workspace/default.box/tsp-tsp_ts-2208a68b-3f4d-463f-947d-bca340d8679e.tsv	5	50
tsp	bayg29.xml	tsp_iia	{"terminate_ls_steps":50}	../workspace/default.box/tsp-tsp_iia-55590ed9-4342-4cdc-b98a-5790b3241c7e.tsv	5	50
tsp	br17.xml	tsp_sa	{"boltzmanconst":0.05,"coolingscheme":"geometric","terminate_ls_steps":50}	../workspace/default.box/tsp-tsp_sa-2730f039-257a-406e-aadd-9471bef3ba1b.tsv	5	50
tsp	br17.xml	tsp_sa	{"boltzmanconst":0.005,"coolingscheme":"geometric","terminate_ls_steps":50}	../workspace/default.box/tsp-tsp_sa-5bba252c-b579-460b-b841-cbe9b3c43054.tsv	5	50
tsp	br17.xml	tsp_sa	{"boltzmanconst":0.001,"coolingscheme":"geometric","terminate_ls_steps":50}	../workspace/default.box/tsp-tsp_sa-8af39b58-e7f6-4645-b9e4-b9377850d3bf.tsv	5	50v
tsp	br17.xml	tsp_ts	{"tabu_tenure":10,"terminate_ls_steps":50}	../workspace/default.box/tsp-tsp_ts-6b84c7db-8337-42b2-a6ab-86eee617e7c8.tsv	5	50
tsp	br17.xml	tsp_ts	{"tabu_tenure":50,"terminate_ls_steps":50}	../workspace/default.box/tsp-tsp_ts-e75c62cc-d71b-4693-b74f-87c618a2e718.tsv	5	50
tsp	br17.xml	tsp_ts	{"tabu_tenure":100,"terminate_ls_steps":50}	../workspace/default.box/tsp-tsp_ts-922b0773-1c98-47b4-97d0-ba1f8f61ee90.tsv	5	50
tsp	br17.xml	tsp_iia	{"terminate_ls_steps":50}	../workspace/default.box/tsp-tsp_iia-afa4af16-5bd5-437f-9b78-ff50e55e261e.tsv	5	50
